time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.692322687591295e-10,8.774585746432549e-16,0.02616703263318591,3.5793590313915047e-13,6.283185075019013,0.0,3.729125785666784e-08,8.77458574643255e-14,0.8720018185004064,8.698305973433658e-12,-1.1666158144086507e-05,0.0,899.9998429213169,899.9993709179467,-0.00018917278683141704,0.0014170774358544349
0.12000000000000001,1.9996274632282713e-08,2.5959359370814304e-14,0.10455996428466997,8.43769498715119e-13,6.283183299672121,0.0,8.807436866733284e-07,8.565314924563887e-13,1.7402063387722684,6.903576344172591e-12,-6.67038752725964e-05,0.0,899.9989682477816,899.9967416707352,-0.00036156300160685654,0.0016270654481079692
0.18,1.9468911825285477e-07,1.1685388346392207e-13,0.23481919206489593,9.29034627006331e-13,6.283177579651031,0.0,5.972890499033816e-06,2.225332102556886e-12,2.600237787286117,-9.485734129800158e-12,-0.00015592065506040564,0.0,900.0007140369972,899.9971057445595,-0.0010960300913752299,-8.652944412442182e-05
0.23999999999999996,9.617870603568297e-07,2.8466438267371736e-13,0.41632637864693867,6.283185307179156,6.28316774852788,0.0,2.161420077940581e-05,3.1618273798764827e-12,3.4478601554061696,-4.8914831094054054e-11,-0.00017995852367560673,0.0,899.9989069061825,899.9979378977796,-0.0016947002055556523,0.00015732499363174944
0.3,3.092537957604769e-06,4.315229928313223e-13,0.6482160001998234,6.2831853071753265,6.283157237608993,0.0,5.159433336961675e-05,1.0264830645840503e-12,4.279081397916457,-9.376417450067473e-11,-0.00016571174761448768,0.0,899.9986112914415,899.9991919569167,-0.0018216039637819173,-0.0002267650227700252
0.36000000000000004,7.447855822674491e-06,2.698793351885161e-13,0.9293919128562399,6.28318530716953,6.283146550456454,0.0,9.561872481343714e-05,-7.579269513319727e-12,5.090216109285311,-1.0219425464475643e-10,-0.0002035348058443183,0.0,900.0006547290865,899.9991280836992,-0.0008073987826682076,-0.00019454350512399248
0.4200000000000001,1.4883756432021278e-05,-6.489288869040987e-13,1.258547424725781,6.283185307162782,6.283133582095729,0.0,0.00015465170961231808,-2.4315682694784935e-11,5.877939388771984,-1.3304435370485444e-10,-0.00024196857734733854,0.0,899.9997264044168,899.9981758817618,-0.0014990383661811545,0.0019765276646640587
0.48000000000000015,2.637454142792212e-05,-2.850234820444401e-12,1.6341888868689307,6.283185307154799,6.283117634763682,0.0,0.0002311839338743639,-5.057806277673011e-11,6.639349960659074,-1.330497626721739e-10,-0.00031570376451873144,0.0,900.0002973659757,899.9973191525012,-1.9849138178523913e-05,0.0018527123312885771
0.5400000000000001,4.3075880472363485e-05,-6.929410851611422e-12,2.0546618452268848,6.283185307146628,6.283098446254359,0.0,0.00032893156149731807,-8.685372198489767e-11,7.371992436439226,-1.4243407747850228e-10,-0.00032808330345996333,0.0,899.999709240884,899.9992155965567,-0.0008267719825148125,0.0025174976672032562
0.6000000000000002,6.632863405367879e-05,-1.3482351048869099e-11,2.5181781111067734,6.283185307138057,6.283077811645752,0.0,0.00044957410746868337,-1.3304606225409844e-10,8.073865749982968,-1.4365083453823988e-10,-0.00037654840718210004,0.0,899.9994557267656,899.9975020124427,-0.000297705188841659,0.002157050176505497
0.6600000000000003,9.753471248596014e-05,-2.309877379165642e-11,3.0228437042246594,6.283185307129436,6.283054374261965,0.0,0.0005943552775437434,-1.8889148610762654e-10,8.74344379632668,-1.4365083453796388e-10,-0.00041954800371009907,0.0,900.0000262596149,899.9982948077866,0.000580912493040063,0.001404288329927084
0.7200000000000003,0.0001381982472209438,-3.634097650414855e-11,3.5666865458915917,6.283185307120814,6.283028485726444,0.0,0.0007650296396669807,-2.5381448259130677e-10,9.379646933867184,-1.436508345376879e-10,-0.00045588535675713214,0.0,900.0002213109065,899.9987604376231,0.001725245548507315,0.00212829500183807
0.7800000000000004,0.00018990711651642656,-5.3735171521449357e-11,4.147682862373295,6.283185307112191,6.28300048215759,0.0,0.0009626395145103172,-3.272006054636724e-10,9.981827635994534,-1.436508345374119e-10,-0.0004888649327322054,0.0,900.0004434560032,899.9991192829661,0.0026442150378128896,0.0007104337006355276
0.8400000000000004,0.0002542941766673833,-7.577095416364199e-11,4.7637821780501275,6.283185307103569,6.282970917572495,0.0,0.00118765278812909,-4.0844598204282437e-10,10.549738222891108,-1.436508345371359e-10,-0.0005005577901306549,0.0,900.000189976365,899.9997280576825,0.003429371827692926,0.0012337373638767438
0.9000000000000005,0.0003329918097849714,-1.0290231242698287e-10,5.4129302592600155,6.283185307094946,6.282940040226004,0.0,0.0014395335058560693,-4.969690330425647e-10,11.083495133135754,-1.436508345368599e-10,-0.0005435262699337839,0.0,900.0014053305787,899.9996778550177,0.002654209730418462,0.002332207504690413
0.9600000000000005,0.00042760807777967306,-1.3554922549932618e-10,6.093089546947669,6.283185307086324,6.2829062244526845,0.0,0.0017184273537168499,-5.922188647923462e-10,11.583531339973495,-1.4365083453658391e-10,-0.0006053354784029364,0.0,900.0015660154969,899.9990769394594,0.0028127599537651673,0.0019637805838154465
1.0200000000000005,0.0005398051609263671,-1.740997436429648e-10,6.8022571433331125,6.2831853070777015,6.282869209758145,0.0,0.002025803110076721,-6.936829348318621e-10,12.050562541845798,-1.4365083453630792e-10,-0.0006405858113620737,0.0,900.002016966643,900.0006042171468,0.0022634770927184448,0.0011509423436146609
